Kategoria,Plik,Wykryte_Flagi,Sciezka
Akt I - Wybór Ścieżki (Na Rozdrożu),3_q106_act1.w2quest,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\temp_quests\3_q106_act1.w2quest
Akt I - Wybór Ścieżki (Na Rozdrożu),4_act1_from_choice.w2quest,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\temp_quests\4_act1_from_choice.w2quest
Akt I - Wybór Ścieżki (Na Rozdrożu),characters_journal.w2phase,"q108, q201, q202, q203, q205, q207, q208, q215r, q301, q308",C:\SteamLibrary\steamapps\common\the witcher 2\data\game\meta_quests\characters_journal.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),q108_TEMP.w2quest,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\quests\q108_choice\q108_TEMP.w2quest
Akt I - Wybór Ścieżki (Na Rozdrożu),q108_choice.w2phase,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\q108_choice.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),q109_assassination.w2phase,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\q109_assassination.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),sq106_fistfight.w2phase,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\sq106_fistfight.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),sq108_incence.w2phase,"q108, q215r",C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\sq108_incence.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),sq109_malena.w2phase,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\1_act1\sq109_malena.w2phase
Akt I - Wybór Ścieżki (Na Rozdrożu),temp_act1.w2quest,q108,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\temp_quests\temp_act1.w2quest
Akt II - Główne Zadania / Mgła,a2_fog_transition.w2phase,q208,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\2_act2\a2_fog_transition.w2phase
Akt II - Główne Zadania / Mgła,act2_community_camp_spawn.w2phase,q201,C:\SteamLibrary\steamapps\common\the witcher 2\data\game\2_act2\act2_community_camp_spawn.w2phase
